Ticker,IsCurncyFixing,CurncyFixingQuoteFormat,date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,TURNOVER,CUR_MKT_CAP,SHORT_INT,EQY_SH_OUT,EQY_FLOAT,EQY_WEIGHTED_AVG_PX,AVERAGE_BID_ASK_SPREAD_%,BEST_EPS,PE_RATIO,BEST_SALES,SALES_REV_TURN,BEST_PE_RATIO,BEST_EBITDA,EQY_DVD_YLD_IND,BEST_TARGET_PRICE,NET_INCOME,BOOK_VAL_PER_SH
2918 HK Equity,False,,2017-06-05,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-06-06,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-06-07,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-06-08,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-06-09,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-06-10,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-06-11,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-06-12,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-06-13,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-06-14,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-06-15,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-06-16,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-06-17,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-06-18,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-06-19,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-06-20,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-06-21,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-06-22,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-06-23,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-06-24,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-06-25,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-06-26,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-06-27,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-06-28,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-06-29,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-06-30,,,,,,,,,,,,,,,,8543.072,,,,,69.664,
2918 HK Equity,False,,2017-07-01,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-02,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-03,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-04,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-05,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-06,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-07,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-08,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-09,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-10,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-11,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-12,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-13,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-14,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-15,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-16,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-17,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-18,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-19,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-20,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-21,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-22,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-23,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-24,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-25,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-26,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-27,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-28,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-29,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-30,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-07-31,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-01,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-02,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-03,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-04,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-05,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-06,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-07,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-08,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-09,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-10,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-11,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-12,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-13,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-14,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-15,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-16,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-17,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-18,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-19,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-20,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-21,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-22,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-23,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-24,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-25,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-26,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-27,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-28,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-29,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-30,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-08-31,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-01,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-02,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-03,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-04,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-05,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-06,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-07,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-08,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-09,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-10,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-11,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-12,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-13,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-14,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-15,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-16,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-17,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-18,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-19,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-20,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-21,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-22,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-23,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-24,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-25,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-26,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-27,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-28,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-29,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-09-30,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-01,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-02,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-03,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-04,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-05,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-06,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-07,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-08,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-09,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-10,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-11,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-12,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-13,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-14,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-15,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-16,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-17,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-18,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-19,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-20,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-21,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-22,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-23,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-24,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-26,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-27,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-28,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-29,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-30,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-10-31,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-11-01,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-11-02,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-11-03,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-11-04,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-11-05,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-11-06,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-11-07,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-11-08,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-11-09,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-11-10,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-11-11,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-11-12,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-11-13,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-11-14,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-11-15,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-11-16,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-11-17,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-11-18,,,,,,,,,,,,,,,,,,,,,,
2918 HK Equity,False,,2017-11-19,,,,,,,,,,,,,,,,,,,,,,
